Priority,Store name,Category,Original category,Rating,Review count,Address,Phone,Google Maps URL,Source keywords,Why relevant / caution,Email / contact page,Website,Instagram,Outreach status,Notes,Source files
A,Photo Shop Studio,Camera store,相機專賣店,4.1,(228),520 Parramatta Road,+61 2 9797 2800,https://www.google.com/maps/place/Photo+Shop+Studio/data=!4m7!3m6!1s0x6b12b0177a4df36f:0xa9b7cfce4feae36e!8m2!3d-33.876134!4d151.128879!16s%2Fg%2F1tj4yw9j!19sChIJb_NNehewEmsRbuPqT87Pt6k?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store, vintage camera store",Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv, vintage camera store Sydney.csv"
B,Irohas Photo Film Lab,Photo lab / film service,相片沖印店,5.0,(576),Basement 398/402 Sussex St,+61 414 852 820,https://www.google.com/maps/place/Irohas+Photo+Film+Lab/data=!4m7!3m6!1s0x6b12af002aeee14f:0xd017afb2409c1f2d!8m2!3d-33.8780199!4d151.2049366!16s%2Fg%2F11wh651lb4!19sChIJT-HuKgCvEmsRLR-cQLKvF9A?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store",Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv"
B,Macro Mode,Camera store,相機專賣店,5.0,(10),6/301a Castlereagh St,+61 402 927 010,https://www.google.com/maps/place/Macro+Mode/data=!4m7!3m6!1s0x6b12b1207a769fd1:0xc4808e1f4dc350bc!8m2!3d-33.8787283!4d151.20833!16s%2Fg%2F11fkf0xyms!19sChIJ0Z92eiCxEmsRvFDDTR-OgMQ?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store","Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv"
B,Specular - Sydney,Camera store,相機專賣店,5.0,(7),Suite 26/112 McEvoy St,+61 2 7922 3833,https://www.google.com/maps/place/Specular+-+Sydney/data=!4m7!3m6!1s0x6b12b1c8e5365fb7:0x2219d40f20bfdf4e!8m2!3d-33.9031263!4d151.1963114!16s%2Fg%2F11h9rs2cvh!19sChIJt1825cixEmsRTt-_IA_UGSI?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store","Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv"
B,Bright Beast,Camera store,相機專賣店,5.0,(1),17 Bourke Rd,,https://www.google.com/maps/place/Bright+Beast/data=!4m7!3m6!1s0x6b12b1c7e6baeb35:0xdab499fbb4d4b04b!8m2!3d-33.9060828!4d151.1990034!16s%2Fg%2F11wj3tm0y1!19sChIJNeu65sexEmsRS7DUtPuZtNo?authuser=0&hl=zh-TW&rclk=1,film camera store,"Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,film camera store Sydney.csv
B,SLR Revolution,Camera store,相機專賣店,4.9,(922),"5 Coleman Street, #01-03 Excelsior Shopping Centre",6250 9412,https://www.google.com/maps/place/SLR+Revolution/data=!4m7!3m6!1s0x31da19a0d5cad835:0xa57a3d3a83d2f5be!8m2!3d1.2920702!4d103.8497553!16s%2Fg%2F11c54d2c7z!19sChIJNdjK1aAZ2jERvvXSgzo9eqU?authuser=0&hl=zh-TW&rclk=1,camera accessories,"Camera-related store, worth checking for accessories and contact email; Camera-related category",,,,,,camera accessories Sydney.csv
B,Rewind Photo Lab,Photo lab / film service,相片沖印店,4.8,(356),338-356 Mitchell Rd,+61 2 8041 7049,https://www.google.com/maps/place/Rewind+Photo+Lab/data=!4m7!3m6!1s0x6b12ae2a04a366a7:0x7d8b1ea06dc9d0c5!8m2!3d-33.906177!4d151.1886725!16s%2Fg%2F11c58tcvdr!19sChIJp2ajBCquEmsRxdDJbaAei30?authuser=0&hl=zh-TW&rclk=1,"film camera store, used camera store, vintage camera store",Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,"film camera store Sydney.csv, used camera store Sydney.csv, vintage camera store Sydney.csv"
B,Pixels Plus,Photo lab / film service,相片沖印店,4.8,(275),45 Willoughby Rd,+61 2 9437 4247,https://www.google.com/maps/place/Pixels+Plus/data=!4m7!3m6!1s0x6b12aee82e9e07c3:0x802d7017d4247ff4!8m2!3d-33.8261875!4d151.2010176!16s%2Fg%2F1tf5kt5h!19sChIJwweeLuiuEmsR9H8k1BdwLYA?authuser=0&hl=zh-TW&rclk=1,"film camera store, vintage camera store",Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,"film camera store Sydney.csv, vintage camera store Sydney.csv"
B,Pixel Perfect Prolab,Photo lab / film service,相片沖印店,4.8,(79),"TAFE Ultimo Campus, Building H/17-19 Mary Ann St",+61 2 9319 0455,https://www.google.com/maps/place/Pixel+Perfect+Prolab/data=!4m7!3m6!1s0x6b12b1d804c7c395:0x1416b5adc59cb72f!8m2!3d-33.881668!4d151.1987705!16s%2Fg%2F1thw_lnn!19sChIJlcPHBNixEmsRL7ecxa21FhQ?authuser=0&hl=zh-TW&rclk=1,"film camera store, used camera store",Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,"film camera store Sydney.csv, used camera store Sydney.csv"
B,SydneySuper8,Photo lab / film service,相片沖印店,4.7,(436),457 King St,+61 2 8084 4132,https://www.google.com/maps/place/SydneySuper8/data=!4m7!3m6!1s0x6b12b0362c4778c1:0x45ede870f15f44e8!8m2!3d-33.9014977!4d151.1784367!16s%2Fg%2F11bbrn17ss!19sChIJwXhHLDawEmsR6ERf8XDo7UU?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store, vintage camera store",Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv, vintage camera store Sydney.csv"
B,Do Film! Lab,Photo lab / film service,相片沖印店,4.7,(212),257 Crown St,+61 439 363 456,https://www.google.com/maps/place/Do+Film!+Lab/data=!4m7!3m6!1s0x6b12af52428ad2db:0xaf690e93a3a28ba1!8m2!3d-33.8799013!4d151.2148946!16s%2Fg%2F11fvxtsfzb!19sChIJ29KKQlKvEmsRoYuio5MOaa8?authuser=0&hl=zh-TW&rclk=1,film camera store,Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,film camera store Sydney.csv
B,Minto Fast Photos,Photo lab / film service,相片沖印店,4.6,(47),"Minto Mall, 10 Brookfield Rd",+61 2 8798 4759,https://www.google.com/maps/place/Minto+Fast+Photos/data=!4m7!3m6!1s0x6b12edfbf20662a5:0x3be326d0492f9c05!8m2!3d-34.0305616!4d150.8497659!16s%2Fg%2F11hylwlw4d!19sChIJpWIG8vvtEmsRBZwvSdAm4zs?authuser=0&hl=zh-TW&rclk=1,used camera store,Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,used camera store Sydney.csv
B,Fox Film Lab,Photo lab / film service,相片沖印店,4.6,(39),135 Flora St,+61 416 139 684,https://www.google.com/maps/place/Fox+Film+Lab/data=!4m7!3m6!1s0x6b12c7751d8d1fd5:0xfc81b6e0bb8b063a!8m2!3d-34.0317669!4d151.0585465!16s%2Fg%2F11gxmwb8q2!19sChIJ1R-NHXXHEmsROgaLu-C2gfw?authuser=0&hl=zh-TW&rclk=1,film camera store,Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,film camera store Sydney.csv
B,Kent Street Studio,Photo lab / film service,相片沖印店,4.5,(23),174 Canterbury Rd,+61 2 9789 9722,https://www.google.com/maps/place/Kent+Street+Studio/data=!4m7!3m6!1s0x6b12ae3ed7d622ed:0x8900751df1abe4c!8m2!3d-33.9109208!4d151.1216423!16s%2Fg%2F11bzt316m3!19sChIJ7SLW1z6uEmsRTL4a31EHkAg?authuser=0&hl=zh-TW&rclk=1,film camera store,Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,film camera store Sydney.csv
B,Landscape Photo Gear,Camera store,相機專賣店,4.4,(74),Unit 20/7 Sefton Rd,+61 2 9929 7578,https://www.google.com/maps/place/Landscape+Photo+Gear/data=!4m7!3m6!1s0x6b12aeeddb3956c5:0xeb4dec2a8b79e443!8m2!3d-33.7222181!4d151.0851641!16s%2Fg%2F1v0lkydf!19sChIJxVY52-2uEmsRQ-R5iyrsTes?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store","Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv"
B,Vision Image Lab,Photo lab / film service,相片沖印店,4.3,(34),"Nick Scali Building, Level 1, Unit 16/69 O'Riordan St",+61 2 9319 3300,https://www.google.com/maps/place/Vision+Image+Lab/data=!4m7!3m6!1s0x6b12b1e78761a295:0x64046cc876dcd122!8m2!3d-33.9164862!4d151.194266!16s%2Fg%2F1tdlvf98!19sChIJlaJhh-exEmsRItHcdshsBGQ?authuser=0&hl=zh-TW&rclk=1,film camera store,Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,film camera store Sydney.csv
B,FOTOGENIC,Camera store,相機店,4.2,(76),100 Station Rd,+61 455 885 885,https://www.google.com/maps/place/FOTOGENIC/data=!4m7!3m6!1s0x6b12a35aff6ed0b5:0x27166a2b41a3449a!8m2!3d-33.7757096!4d150.9440748!16s%2Fg%2F11bx60hgrl!19sChIJtdBu_1qjEmsRmkSjQStqFic?authuser=0&hl=zh-TW&rclk=1,film camera store,"Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,film camera store Sydney.csv
B,Cabramatta Fast Photo,Camera store,相機店,4.2,(43),1/8 Dutton Ln,+61 2 9726 0110,https://www.google.com/maps/place/Cabramatta+Fast+Photo/data=!4m7!3m6!1s0x6b12960ea0fb4811:0x6e37eb48122d0400!8m2!3d-33.8938867!4d150.9347292!16s%2Fg%2F1tf3p1c0!19sChIJEUj7oA6WEmsRAAQtEkjrN24?authuser=0&hl=zh-TW&rclk=1,film camera store,"Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,film camera store Sydney.csv
B,Kayell Australia,Camera store,相機專賣店,3.9,(68),"30 Whiting Street, Corner Whiting and, Clarendon St",+61 2 8423 7700,https://www.google.com/maps/place/Kayell+Australia/data=!4m7!3m6!1s0x6b12af26dbe6e287:0xafcb8491b0744a50!8m2!3d-33.815279!4d151.1835917!16s%2Fg%2F11bv3ml4vy!19sChIJh-Lm2yavEmsRUEp0sJGEy68?authuser=0&hl=zh-TW&rclk=1,film camera store,"Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,film camera store Sydney.csv
B,Double Bay Camera Shop,Camera store,相機專賣店,3.8,(32),Shop 2/413-417 New South Head Rd,+61 2 9327 4481,https://www.google.com/maps/place/Double+Bay+Camera+Shop/data=!4m7!3m6!1s0x6b12ade78946f917:0x20dac41f019a227a!8m2!3d-33.877927!4d151.243426!16s%2Fg%2F1pt_t0czp!19sChIJF_lGieetEmsReiKaAR_E2iA?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store, vintage camera store","Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search; Rating below 4.0, review manually before first outreach",,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv, vintage camera store Sydney.csv"
B,Millennium Photo Express,Photo lab / film service,相片沖印店,3.7,(27),4/57 Smart St,+61 2 9727 6537,https://www.google.com/maps/place/Millennium+Photo+Express/data=!4m7!3m6!1s0x6b12bd80ec108e07:0x9b9c6c2fdc7f8621!8m2!3d-33.868796!4d150.9554876!16s%2Fg%2F1ptx0x2ky!19sChIJB44Q7IC9EmsRIYZ_3C9snJs?authuser=0&hl=zh-TW&rclk=1,"film camera store, used camera store",Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,"film camera store Sydney.csv, used camera store Sydney.csv"
B,La-Min Photo Digital,Camera store,相機專賣店,3.3,(44),Shop5/23 Darlinghurst Rd,+61 2 9358 6578,https://www.google.com/maps/place/La-Min+Photo+Digital/data=!4m7!3m6!1s0x6b12ae0d2f8163cd:0xda6cfc3bd6cde8b4!8m2!3d-33.8732539!4d151.2242179!16s%2Fg%2F1tjhxtly!19sChIJzWOBLw2uEmsRtOjN1jv8bNo?authuser=0&hl=zh-TW&rclk=1,"film camera store, used camera store","Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search; Rating below 4.0, review manually before first outreach",,,,,,"film camera store Sydney.csv, used camera store Sydney.csv"
B,Fotolab,Photo lab / film service,相片沖印店,3.2,(119),"Enter from, Century Tower Shop 5/ 343-357 Pitt Street, Wilmot St",+61 450 517 723,https://www.google.com/maps/place/Fotolab/data=!4m7!3m6!1s0x6b12ae3e7895390f:0x3f28e1f3ae5c9fb6!8m2!3d-33.8754205!4d151.2075727!16s%2Fg%2F1tdzlqfd!19sChIJDzmVeD6uEmsRtp9crvPhKD8?authuser=0&hl=zh-TW&rclk=1,film camera store,Film/photo lab with possible compact or film-camera audience; Appeared in film/used/vintage search,,,,,,film camera store Sydney.csv
B,A Glade Film,Camera store,相機專賣店,2.3,(3),21 Worth St,+61 481 745 230,https://www.google.com/maps/place/A+Glade+Film/data=!4m7!3m6!1s0x6b12bbcf6881114b:0xfb8b18516b243d31!8m2!3d-33.8918619!4d151.0505326!16s%2Fg%2F11skf6801b!19sChIJSxGBaM-7EmsRMT0ka1EYi_s?authuser=0&hl=zh-TW&rclk=1,film camera store,"Independent/niche camera-related store found via used/film/vintage/accessory keywords; Camera-related category; Appeared in film/used/vintage search; Rating below 4.0, review manually before first outreach",,,,,,film camera store Sydney.csv
B,Digital Camera Gear,Camera store,相機專賣店,2.0,(2),21/35-39 Higginbotham Rd,+61 1800 891 006,https://www.google.com/maps/place/Digital+Camera+Gear/data=!4m7!3m6!1s0x6b12a59a142cb87f:0x3b8cec2e258eba07!8m2!3d-33.8177679!4d151.1237004!16s%2Fg%2F1tgcy6g4!19sChIJf7gsFJqlEmsRB7qOJS7sjDs?authuser=0&hl=zh-TW&rclk=1,film camera store,"Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,film camera store Sydney.csv
B,Image-Ination,Camera store,相機店,,,104 Commonwealth St,+61 1300 886 838,https://www.google.com/maps/place/Image-Ination/data=!4m7!3m6!1s0x6b12ae180d8c1097:0x10df3ad687c6d818!8m2!3d-33.8805366!4d151.2110182!16s%2Fg%2F11xp3wl2_!19sChIJlxCMDRiuEmsRGNjGh9Y63xA?authuser=0&hl=zh-TW&rclk=1,film camera store,"Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,film camera store Sydney.csv
B,Night Vision,Camera store,相機專賣店,,,11 Australia Ave,+61 452 663 517,https://www.google.com/maps/place/Night+Vision/data=!4m7!3m6!1s0x6b12a57d1b9cf90d:0xe0f609d172d38c38!8m2!3d-33.8465761!4d151.07262!16s%2Fg%2F11ysg7knly!19sChIJDfmcG32lEmsROIzTctEJ9uA?authuser=0&hl=zh-TW&rclk=1,camera accessories,"Camera-related store, worth checking for accessories and contact email; Camera-related category",,,,,,camera accessories Sydney.csv
B,NSTALGIX,Camera store,相機專賣店,,,Suite 1098/308 Wattle St,,https://www.google.com/maps/place/NSTALGIX/data=!4m7!3m6!1s0x6b12af2b7b524e83:0x839df8f2c23f9a6c!8m2!3d-33.8784707!4d151.1956073!16s%2Fg%2F11y32d0dr0!19sChIJg05SeyuvEmsRbJo_wvL4nYM?authuser=0&hl=zh-TW&rclk=1,film camera store,"Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,film camera store Sydney.csv
B,Silverpixel Communications Pty Ltd.,Camera store,相機店,,,1/39 Phillip St,+61 2 9565 5422,https://www.google.com/maps/place/Silverpixel+Communications+Pty+Ltd./data=!4m7!3m6!1s0x6b12b039b9650107:0xe9e49b95d03eee42!8m2!3d-33.897186!4d151.173492!16s%2Fg%2F1ptxfh761!19sChIJBwFluTmwEmsRQu4-0JWb5Ok?authuser=0&hl=zh-TW&rclk=1,film camera store,"Camera-related store, worth checking for accessories and contact email; Camera-related category; Appeared in film/used/vintage search",,,,,,film camera store Sydney.csv
C,"Dash Cam Specialists - West Ryde, Sydney",汽車用品店,汽車用品店,5.0,"(1,857)",1064 Victoria Rd,+61 430 997 394,"https://www.google.com/maps/place/Dash+Cam+Specialists+-+West+Ryde,+Sydney/data=!4m7!3m6!1s0x6b12a5489e165519:0xe72eb5304e6c5ead!8m2!3d-33.8070237!4d151.0825584!16s%2Fg%2F11jj1xpf81!19sChIJGVUWnkilEmsRrV5sTjC1Luc?authuser=0&hl=zh-TW&rclk=1",camera accessories,Needs manual check before outreach,,,,,,camera accessories Sydney.csv
C,DJI Westfield Sydney,電器舖,電器舖,5.0,"(1,133)","Westfield Sydney, Shop 1023A Level 1/188 Pitt St",+61 2 9160 7375,https://www.google.com/maps/place/DJI+Westfield+Sydney/data=!4m7!3m6!1s0x6b12af1619ed6c07:0xe93bfe86b97b3934!8m2!3d-33.8701109!4d151.2089071!16s%2Fg%2F11tsmkwmp3!19sChIJB2ztGRavEmsRNDl7uYb-O-k?authuser=0&hl=zh-TW&rclk=1,camera accessories,Needs manual check before outreach,,,,,,camera accessories Sydney.csv
C,Fantastic Framing - North Sydney,畫框專賣店,畫框專賣店,5.0,(985),2/283A Miller St,+61 2 8357 7710,https://www.google.com/maps/place/Fantastic+Framing+-+North+Sydney/data=!4m7!3m6!1s0x6b12afa61806e303:0x650d006853b30f50!8m2!3d-33.8317419!4d151.2085309!16s%2Fg%2F11jk2ntg91!19sChIJA-MGGKavEmsRUA-zU2gADWU?authuser=0&hl=zh-TW&rclk=1,used camera store,Needs manual check before outreach; Appeared in film/used/vintage search,,,,,,used camera store Sydney.csv
C,Fantastic Framing Maroubra,畫框專賣店,畫框專賣店,5.0,(940),2/818 Anzac Parade,+61 2 9185 2833,https://www.google.com/maps/place/Fantastic+Framing+Maroubra/data=!4m7!3m6!1s0x6b12bbc59b227a51:0x9b004a8de108df13!8m2!3d-33.9390967!4d151.2394276!16s%2Fg%2F11f60ww3vr!19sChIJUXoim8W7EmsRE98I4Y1KAJs?authuser=0&hl=zh-TW&rclk=1,used camera store,Needs manual check before outreach; Appeared in film/used/vintage search,,,,,,used camera store Sydney.csv
C,DJI Bondi Junction | Authorised Retail Store,電器舖,電器舖,5.0,(295),"Shop 3022, Level 3/500 Oxford St",+61 2 8355 7852,https://www.google.com/maps/place/DJI+Bondi+Junction+%7C+Authorised+Retail+Store/data=!4m7!3m6!1s0x6b12ad365bced4d1:0xf1a6e728cd814154!8m2!3d-33.8929368!4d151.2499967!16s%2Fg%2F11lym3wqn4!19sChIJ0dTOWzatEmsRVEGBzSjnpvE?authuser=0&hl=zh-TW&rclk=1,film camera store,Needs manual check before outreach; Appeared in film/used/vintage search,,,,,,film camera store Sydney.csv
C,RENTaCAM Sydney,Camera store,相機專賣店,5.0,(161),"Access via car park and through the roller door, Suite 3/396 Princes Hwy",+61 2 9669 4393,https://www.google.com/maps/place/RENTaCAM+Sydney/data=!4m7!3m6!1s0x6b12b1af121f0ecb:0x7648d990dc94c99a!8m2!3d-33.9172634!4d151.1724315!16s%2Fg%2F1tnl1k54!19sChIJyw4fEq-xEmsRmsmU3JDZSHY?authuser=0&hl=zh-TW&rclk=1,"camera accessories, film camera store, used camera store, vintage camera store","Lower fit for first outreach: department store, repair, rental, or generic photo service; Camera-related category; Appeared in film/used/vintage search",,,,,,"camera accessories Sydney.csv, film camera store Sydney.csv, used camera store Sydney.csv, vintage camera store Sydney.csv"
C,The Light Room Sydney,攝影工作室,攝影工作室,5.0,(109),650 Crown St,+61 468 722 443,https://www.google.com/maps/place/The+Light+Room+Sydney/data=!4m7!3m6!1s0x6b12b100617aff79:0x31c7ebaff29db857!8m2!3d-33.8910168!4d151.2130738!16s%2Fg%2F11vrr0b2sf!19sChIJef96YQCxEmsRV7id8q_rxzE?authuser=0&hl=zh-TW&rclk=1,film camera store,Needs manual check before outreach; Appeared in film/used/vintage search,,,,,,film camera store Sydney.csv
C,BLACKBOX-camera: Sydney Dashcam Installation,汽車用品店,汽車用品店,5.0,(91),8 Church St,+61 403 862 087,https://www.google.com/maps/place/BLACKBOX-camera:+Sydney+Dashcam+Installation/data=!4m7!3m6!1s0x6b12bb6a8c305e67:0x5b2c99dd858bdb8!8m2!3d-33.8640932!4d151.0492617!16s%2Fg%2F11x8ygczdv!19sChIJZ14wjGq7EmsRuL1Y2J3JsgU?authuser=0&hl=zh-TW&rclk=1,camera accessories,Needs manual check before outreach,,,,,,camera accessories Sydney.csv
